iter	Passed	Remaining
461	773	900
462	774	898
463	775	895
464	776	893
465	777	890
466	778	888
467	779	886
468	780	883
469	781	881
470	782	878
471	783	876
472	784	874
473	785	872
474	786	869
475	787	867
476	788	864
477	789	862
478	790	860
479	791	857
480	792	855
481	793	853
482	794	850
483	795	848
484	797	846
485	798	844
486	799	841
487	800	839
488	801	837
489	802	834
490	802	832
491	803	830
492	804	827
493	805	825
494	806	823
495	807	820
496	808	818
497	809	816
498	811	814
499	812	812
500	813	810
501	814	808
502	815	806
503	816	803
504	817	801
505	819	799
506	820	797
507	821	795
508	822	793
509	823	791
510	824	789
511	826	787
512	827	785
513	828	783
514	829	780
515	830	778
516	831	776
517	832	774
518	833	772
519	834	770
520	835	767
521	836	765
522	837	763
523	838	761
524	839	759
525	840	757
526	841	755
527	842	753
528	843	751
529	844	749
530	845	747
531	847	745
532	848	743
533	849	741
534	850	739
535	851	737
536	852	735
537	853	733
538	854	731
539	855	729
540	856	727
541	858	725
542	859	723
543	860	720
544	861	718
545	862	716
546	863	714
547	864	712
548	864	710
549	865	708
550	867	706
551	868	704
552	869	702
553	870	700
554	871	698
555	872	696
556	873	694
557	874	692
558	875	690
559	876	689
560	878	687
561	879	685
562	881	684
563	882	682
564	883	680
565	884	678
566	885	676
567	886	674
568	887	672
569	888	670
570	889	668
571	890	666
572	891	664
573	892	662
574	893	660
575	894	658
576	895	656
577	896	654
578	897	652
579	898	650
580	899	648
581	900	647
582	901	645
583	902	643
584	903	641
585	904	639
586	905	637
587	906	635
588	907	633
589	909	631
590	910	629
591	911	628
592	912	626
593	913	624
594	914	622
595	914	620
596	915	618
597	916	616
598	917	614
599	918	612
600	919	610
601	920	608
602	921	606
603	922	605
604	923	603
605	925	601
606	926	599
607	927	597
608	928	595
609	929	594
610	930	592
611	931	590
612	932	588
613	933	586
614	934	585
615	935	583
616	936	581
617	937	579
618	938	577
619	939	576
620	941	574
621	942	572
622	943	570
623	944	568
624	945	567
625	946	565
626	947	563
627	948	561
628	949	559
629	951	558
630	952	557
631	953	555
632	954	553
633	955	551
634	956	549
635	957	547
636	958	546
637	959	544
638	960	542
639	961	540
640	962	539
641	963	537
642	965	536
643	967	534
644	968	532
645	969	531
646	970	529
647	971	527
648	972	526
649	973	524
650	974	522
651	975	520
652	976	519
653	977	517
654	978	515
655	980	513
656	981	512
657	982	510
658	983	508
659	983	506
660	984	505
661	985	503
662	986	501
663	987	499
664	988	497
665	989	496
666	990	494
667	991	492
668	992	491
669	993	489
670	994	487
671	995	486
672	996	484
673	997	482
674	998	480
675	999	479
676	1000	477
677	1001	475
678	1002	473
679	1003	472
680	1004	470
681	1005	468
682	1006	467
683	1007	465
684	1008	463
685	1009	462
686	1010	460
687	1011	458
688	1012	457
689	1013	455
690	1015	453
691	1016	452
692	1017	450
693	1019	449
694	1020	447
695	1021	446
696	1022	444
697	1024	443
698	1025	441
699	1027	440
700	1028	438
701	1029	437
702	1031	435
703	1033	434
704	1036	433
705	1037	432
706	1038	430
707	1040	429
708	1041	427
709	1042	425
710	1043	424
711	1045	422
712	1046	421
713	1047	419
714	1049	418
715	1051	417
716	1053	415
717	1054	414
718	1056	412
719	1057	411
720	1058	409
721	1059	408
722	1060	406
723	1061	404
724	1063	403
725	1064	401
726	1065	400
727	1067	398
728	1068	397
729	1069	395
730	1070	394
731	1072	392
732	1073	390
733	1074	389
734	1075	387
735	1076	386
736	1078	384
737	1079	383
738	1080	381
739	1081	379
740	1082	378
741	1083	376
742	1084	375
743	1085	373
744	1086	372
745	1087	370
746	1088	368
747	1089	367
748	1091	365
749	1092	364
750	1093	362
751	1094	361
752	1095	359
753	1096	357
754	1097	356
755	1099	354
756	1099	353
757	1100	351
758	1101	349
759	1102	348
760	1103	346
761	1104	345
762	1106	343
763	1107	342
764	1108	340
765	1109	338
766	1110	337
767	1112	335
768	1113	334
769	1114	332
770	1115	331
771	1116	329
772	1116	327
773	1117	326
774	1118	324
775	1119	323
776	1121	321
777	1122	320
778	1123	318
779	1124	317
780	1125	315
781	1126	313
782	1127	312
783	1128	310
784	1129	309
785	1130	307
786	1131	306
787	1133	304
788	1134	303
789	1135	301
790	1136	300
791	1138	298
792	1139	297
793	1140	295
794	1141	294
795	1142	292
796	1143	291
797	1144	289
798	1144	288
799	1145	286
800	1147	285
801	1148	283
802	1149	282
803	1150	280
804	1151	279
805	1152	277
806	1154	275
807	1154	274
808	1155	272
809	1156	271
810	1157	269
811	1158	268
812	1159	266
813	1160	265
814	1161	263
815	1162	262
816	1163	260
817	1164	259
818	1165	257
819	1166	256
820	1167	254
821	1168	253
822	1169	251
823	1170	250
824	1171	248
825	1172	247
826	1173	245
827	1175	244
828	1177	242
829	1178	241
830	1179	239
831	1180	238
832	1181	236
833	1182	235
834	1183	233
835	1184	232
836	1186	230
837	1187	229
838	1188	228
839	1189	226
840	1191	225
841	1192	223
842	1193	222
843	1194	220
844	1195	219
845	1196	217
846	1197	216
847	1198	214
848	1199	213
849	1201	211
850	1202	210
851	1204	209
852	1205	207
853	1207	206
854	1208	204
855	1210	203
856	1211	202
857	1213	200
858	1214	199
859	1216	197
860	1218	196
861	1221	195
862	1222	194
863	1224	192
864	1226	191
865	1227	189
866	1229	188
867	1230	187
868	1232	185
869	1234	184
870	1237	183
871	1238	181
872	1240	180
873	1241	179
874	1243	177
875	1244	176
876	1247	174
877	1249	173
878	1250	172
879	1252	170
880	1253	169
881	1254	167
882	1256	166
883	1258	165
884	1260	163
885	1261	162
886	1262	160
887	1264	159
888	1265	158
889	1266	156
890	1267	155
891	1269	153
892	1270	152
893	1271	150
894	1272	149
895	1274	147
896	1275	146
897	1276	144
898	1277	143
899	1278	142
900	1279	140
901	1280	139
902	1281	137
903	1282	136
904	1283	134
905	1284	133
906	1285	131
907	1286	130
908	1287	128
909	1289	127
910	1290	126
911	1291	124
912	1292	123
913	1293	121
914	1294	120
915	1294	118
916	1295	117
917	1296	115
918	1297	114
919	1298	112
920	1299	111
921	1300	110
922	1302	108
923	1303	107
924	1304	105
925	1305	104
926	1306	102
927	1307	101
928	1308	100
929	1309	98
930	1310	97
931	1311	95
932	1312	94
933	1313	92
934	1314	91
935	1316	90
936	1317	88
937	1318	87
938	1319	85
939	1320	84
940	1321	82
941	1322	81
942	1323	79
943	1324	78
944	1325	77
945	1326	75
946	1327	74
947	1328	72
948	1329	71
949	1330	70
950	1331	68
951	1332	67
952	1333	65
953	1334	64
954	1335	62
955	1336	61
956	1336	60
957	1338	58
958	1339	57
959	1340	55
960	1340	54
961	1341	53
962	1342	51
963	1343	50
964	1344	48
965	1345	47
966	1346	45
967	1347	44
968	1348	43
969	1348	41
970	1349	40
971	1350	38
972	1351	37
973	1352	36
974	1353	34
975	1353	33
976	1354	31
977	1355	30
978	1356	29
979	1357	27
980	1359	26
981	1362	24
982	1363	23
983	1364	22
984	1365	20
985	1366	19
986	1367	18
987	1368	16
988	1369	15
989	1370	13
990	1370	12
991	1371	11
992	1373	9
993	1374	8
994	1375	6
995	1376	5
996	1377	4
997	1377	2
998	1379	1
999	1379	0
